,Date + Block,Date,Block,Solar_Sch,Wind_Sch,Hyb_Sch,Declared_Plant_Schedule,Plant_AvC,Declared_Hybrid_Schedule,Total_Hybrid_Solar,Total_Hybrid_Wind,Solar_AvC,Wind_AvC,Hybrid_AvC_Input,Hybrid_AvC_Cap,Capped_Solar_AvC,Capped_Wind_AvC,Hybrid_AvC,GDAM,Adjusted_Sch,Linde_Contract_Total,Linde_Actual_Demand,Linde_Additional_Energy,RTM_Available,GDAM_Solar,RTM_Solar,GDAM_Wind,RTM_Wind,Chemfab Demand Schedule_Solar,Chemfab Demand Schedule_Wind,Green Valley Demand Schedule_Solar,Green Valley Demand Schedule_Wind,Linde Dahej Demand Schedule_Solar,Linde Dahej Demand Schedule_Wind,Linde Hyderabad Demand Schedule_Solar,Linde Hyderabad Demand Schedule_Wind,Linde Kalinganagar Demand Schedule_Solar,Linde Kalinganagar Demand Schedule_Wind,Linde Ludhiana Demand Schedule_Solar,Linde Ludhiana Demand Schedule_Wind,Linde Rourkela 2 Demand Schedule_Solar,Linde Rourkela 2 Demand Schedule_Wind,Linde Rourkela Demand Schedule_Solar,Linde Rourkela Demand Schedule_Wind,Linde Selaqui Demand Schedule_Solar,Linde Selaqui Demand Schedule_Wind,Linde Sri City Demand Schedule_Solar,Linde Sri City Demand Schedule_Wind
0,461821,2026-06-09T00:00:00.000,1,0,63,63,63,200,63,0,63,68,132,200,200,68,132,200,1,63,21,18.8,2.2,28.2,0,0,0,28.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
1,461822,2026-06-09T00:00:00.000,2,0,63,63,63,200,63,0,63,68,132,200,200,68,132,200,1,63,21,18.8,2.2,28.2,0,0,0,28.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
2,461823,2026-06-09T00:00:00.000,3,0,62,62,62,200,62,0,62,68,132,200,200,68,132,200,1,62,21,18.8,2.2,27.2,0,0,0,27.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
3,461824,2026-06-09T00:00:00.000,4,0,62,62,62,200,62,0,62,68,132,200,200,68,132,200,1,62,21,18.8,2.2,27.2,0,0,0,27.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
4,461825,2026-06-09T00:00:00.000,5,0,62,62,62,200,62,0,62,68,132,200,200,68,132,200,1,62,21,18.8,2.2,27.2,0,0,0,27.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
5,461826,2026-06-09T00:00:00.000,6,0,58,58,58,200,58,0,58,68,132,200,200,68,132,200,1,58,21,18.8,2.2,23.2,0,0,0,23.2,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
6,461827,2026-06-09T00:00:00.000,7,0,61.5,61.5,61.5,200,61.5,0,61.5,68,132,200,200,68,132,200,1,61.5,21,18.8,2.2,26.7,0,0,0,26.7,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
7,461828,2026-06-09T00:00:00.000,8,0,60.3,60.3,60.3,200,60.3,0,60.3,68,132,200,200,68,132,200,1,60.3,21,18.8,2.2,25.5,0,0,0,25.5,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
8,461829,2026-06-09T00:00:00.000,9,0,59.7,59.7,59.7,200,59.7,0,59.7,68,132,200,200,68,132,200,1,59.7,21,18.8,2.2,24.9,0,0,0,24.9,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
9,4618210,2026-06-09T00:00:00.000,10,0,58.2,58.2,58.2,200,58.2,0,58.2,68,132,200,200,68,132,200,1,58.2,21,18.8,2.2,23.4,0,0,0,23.4,0,10,0,5,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6.8
